song,artist,uri,id,track_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
Beautiful Now,Zedd,spotify:track:0TFG6qUaTLDTym3c3HZ5gS,0TFG6qUaTLDTym3c3HZ5gS,https://api.spotify.com/v1/tracks/0TFG6qUaTLDTym3c3HZ5gS,0.634,0.822,-4.124,0.0277,0.00738,4.44e-05,0.0887,0.548,128.006,218493,4
Bitch Better Have My Money,Rihanna,spotify:track:0NTMtAO2BV4tnGvw9EgBVq,0NTMtAO2BV4tnGvw9EgBVq,https://api.spotify.com/v1/tracks/0NTMtAO2BV4tnGvw9EgBVq,0.781,0.728,-4.981,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,219306,3
Cake By The Ocean,DNCE,spotify:track:0Kahm7qIT3oUsRSc4NWWmh,0Kahm7qIT3oUsRSc4NWWmh,https://api.spotify.com/v1/tracks/0Kahm7qIT3oUsRSc4NWWmh,0.772,0.779,-5.479,0.0509,0.148,0.0,0.0534,0.892,118.998,218440,4
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,spotify:track:2XPc8gL9PwxGURQFcFaDJR,2XPc8gL9PwxGURQFcFaDJR,https://api.spotify.com/v1/tracks/2XPc8gL9PwxGURQFcFaDJR,0.777,0.663,-6.117,0.0305,0.146,1.52e-05,0.174,0.614,118.016,181827,2
Confident,Demi Lovato,spotify:track:4wBA24GuWqlFfZ6uL65aXP,4wBA24GuWqlFfZ6uL65aXP,https://api.spotify.com/v1/tracks/4wBA24GuWqlFfZ6uL65aXP,0.597,0.749,-6.252,0.0768,0.00175,0.000187,0.116,0.326,130.077,205747,5
Cool for the Summer,Demi Lovato,spotify:track:1KK0j3djUgx5tuOMwesdAT,1KK0j3djUgx5tuOMwesdAT,https://api.spotify.com/v1/tracks/1KK0j3djUgx5tuOMwesdAT,0.586,0.613,-5.593,0.0386,0.00441,0.000183,0.0853,0.319,114.101,214746,3
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,spotify:track:2PIvq1pGrUjY007X5y1UpM,2PIvq1pGrUjY007X5y1UpM,https://api.spotify.com/v1/tracks/2PIvq1pGrUjY007X5y1UpM,0.659,0.381,-5.922,0.0304,0.385,0.0,0.0972,0.426,119.844,252227,3
Drag Me Down,One Direction,spotify:track:70OTIpw8x8UXUsuCHW9i1i,70OTIpw8x8UXUsuCHW9i1i,https://api.spotify.com/v1/tracks/70OTIpw8x8UXUsuCHW9i1i,0.723,0.711,-5.576,0.0378,0.0997,0.0,0.0528,0.606,138.098,192107,4
Emergency,Icona Pop,spotify:track:6E7oFW7xTK6Ghucsq6tMUj,6E7oFW7xTK6Ghucsq6tMUj,https://api.spotify.com/v1/tracks/6E7oFW7xTK6Ghucsq6tMUj,0.834,0.969,-3.383,0.063,0.0558,0.000723,0.0635,0.928,125.985,169617,4
Ex's & Oh's,Elle King,spotify:track:70eDxAyAraNTiD6lx2ZEnH,70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/tracks/70eDxAyAraNTiD6lx2ZEnH,0.612,0.921,-2.882,0.085,0.0183,0.0,0.0576,0.446,139.988,202173,5
The Fix (feat. Jeremih),Nelly,spotify:track:20IZ0jYjnFO0NxyiaRsJwb,20IZ0jYjnFO0NxyiaRsJwb,https://api.spotify.com/v1/tracks/20IZ0jYjnFO0NxyiaRsJwb,0.812,0.479,-6.47,0.0429,0.0485,0.0,0.102,0.0873,95.505,173045,2
